countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.920353647136,1092.10055169485,1163.47972237035,1365.42796312034,1540.14204714666,1595.33940418818,1720.61146084901,1456.28809020006,1396.91363199087,1409.20228108823,1378.39919959256,1357.96700483161,1357.96700483161
Australia,10169471.5485786,10644231.2675842,10890229.6867876,10606484.4222973,10689241.8892408,11350219.8824541,11439827.9577532,11997058.7361188,12091131.3031926,12478757.2280328,13948702.7228269,13481196.8281847,13853569.4123557,14963391.7425662,15910980.8564452,16513531.9693561,16984567.7441663,17798726.6432208,18314891.2550562,19964328.0429694,19707823.2301655,19003994.0706871
Austria,596645.655554316,588176.621147128,587669.937626362,518560.980539521,544869.682256099,536358.205868412,553937.597127073,582135.504864118,582892.193700284,609614.150149308,575343.06153262,532954.095447153,626258.190448102,598312.786375949,594687.754788073,559644.146600573,580958.070367732,579516.1079273,551366.707271256,595166.871086636,572574.831749198,533720.473624291
Azerbaijan,882619.697590608,928720.927001534,927203.945882912,954570.036631324,936476.092068159,1246491.39887636,1748055.13070867,2335113.62450765,2596616.30710499,2901166.60980667,2989620.27122491,2853416.12775029,2740271.13797737,2640618.37520488,2616356.87994504,2642861.95744664,2597340.62822822,2468724.32709858,2509173.73749912,2657245.14040202,2550946.42918168,2849902.02643759
Bahrain,437749.95825984,447961.373731231,469613.659880879,476984.426774184,482555.161228726,513547.308964225,539384.713222026,556939.431208656,917054.384622383,917533.684193967,924472.300434387,939201.433342506,942961.001969809,1038667.0555123,1080966.73300094,1080635.74652932,1073915.99254106,1089156.91749883,1091418.89243114,1157454.91675398,1105937.20894573,1140250.47569084
Bangladesh,369820.004817099,394292.25222193,430089.462054542,482155.563730526,523933.655104387,561148.795784329,614809.452694782,660039.357341978,732177.10872934,794756.858395462,817865.72133295,817682.985049324,894369.210669863,924914.427197823,966776.767637534,1075881.6317162,1187399.78233986,1138117.50310357,1129262.69888096,1118372.70615778,1036188.76518333,988178.49351326
Barbados,4945.19980358649,4128.56998643044,3390.62166524135,3390.62166524135,3435.82206093612,3287.29904856649,3533.23044903017,2994.30434099232,2929.49553473731,2896.30611115522,2909.89248739175,2934.05875270718,3032.61395062718,3163.56716243931,2913.64342195898,3088.95403456437,3159.47031186304,3152.35853076099,3158.2837244293,3254.70316868854,3458.39742546734,3586.60470671521
Belarus,92067.6226175567,91835.9128740922,90306.3334024485,88903.8334709043,89817.9272541585,86600.9532580873,86507.5671627077,86160.128091454,86438.3601381122,82555.3118197151,71788.3170338604,71629.8346236246,71781.7586411957,73015.0671788838,72632.2947724515,63760.6122948363,79562.4038146394,82660.5757054224,86561.0854527924,89793.2532186084,96741.4822869122,155298.823270066
Belgium,519285.096450145,503441.295335817,513774.52054361,512605.787106264,516404.982286247,524398.665082877,524157.137686828,548075.765102532,531166.570416639,576049.803317294,600352.149922529,621493.415900654,557390.069908592,591713.253096289,509819.546585384,441970.988776319,620810.97689493,624383.546392421,491046.48317708,663821.129584169,582966.322717275,733803.47249781
Belize,1186.04124773394,1161.8582513428,1131.72849066644,826.329503038621,860.34808036643,873.235149758004,7030.56054399735,8657.96885298644,10050.0722437374,10894.1042008048,12668.3300033985,11976.6073535869,9257.56660746901,8171.72200206688,7431.10785197856,7285.49943444504,7429.27605029152,5961.01625886681,5525.86870589408,5994.83775018161,3818.33221419316,5083.47108723596
