countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Aruba,15902.530801530009,16454.558000434216,17009.209534715654,18941.394774622047,19752.74973278719,21331.085455933302,21290.44696230992,21939.318086094532,20609.619979688334,20547.125951852624,19288.296598669425,15344.956213907755,19225.355626596363,18618.406057242904,18883.798819737895,19436.05428219143,18886.86583133508,19554.89498862451,18891.399698629655,19587.018594750694,16691.916791870666,17678.165601603156
        Australia,5062495.349010082,5092023.464983447,5247921.310704267,5290414.202872859,5466354.32056924,5568043.600450409,5641198.75214303,5807348.68906601,5808920.850263926,5925511.252516386,5960795.763152699,6059338.809275261,6128131.77225295,6137331.142413753,6068853.7417673245,6096400.212585628,6349946.946866067,6541067.375529228,6507213.745072378,6547820.921822992,6154138.578913992,6248759.613868728
        Austria,1432389.005457966,1500464.012094969,1499904.4136695329,1524459.2100883399,1579068.1791575416,1638271.2621745218,1628977.554921392,1600033.2677005918,1603816.388995757,1535269.5872668615,1575523.0683159055,1498116.1824248824,1544751.9515432105,1553733.3875839165,1502401.6601683307,1504813.8270045798,1539443.948191161,1572351.4970056354,1537707.008420715,1599960.980378295,1487121.5396528328,1520355.4216200777
        Azerbaijan,535354.9038343282,470176.9386156145,561139.2782502675,598741.0168748058,660487.4986347425,683845.468949437,692998.355449451,570746.3592329238,611250.1585606494,573625.4370803896,618964.4086198402,586035.5381100859,636473.4013860998,598569.3885372615,617281.527941852,652358.502672084,642483.923480301,640039.5948070192,641927.6553501489,682872.8342182981,663118.5706905379,699872.0263558857
        Bahrain,402757.34884785494,416844.96799276565,444769.30679480254,464693.16747982305,481367.2341339217,540015.9925691189,576183.3036624953,591579.1339627292,619493.4052424607,613335.742013007,620045.1294926272,613494.0001798888,659052.5881865349,732931.6641488392,726564.7689211973,732979.5045486675,731350.1298835533,752428.607276424,761892.0679429024,835904.1774142009,830261.1741587032,848694.7044045869
        Bangladesh,538615.169135186,589827.6216855766,620515.8304690053,682978.0027298314,706926.1144472127,751564.4118405645,810398.8211059348,851078.2164797646,920149.4177674347,968596.4715972015,1021589.3002388425,1074549.8957578153,1159132.6521119673,1190000.0554831722,1271098.391676323,1406511.8870669634,1513244.182990226,1560348.7906402284,1567939.6762438074,1673979.5368516846,1635939.8433853376,1806070.991518856
        Barbados,25075.50372821723,25090.451964001917,25259.312222419103,25528.6690361143,25718.928581605167,25917.89415914543,25976.742061928988,24784.116381897304,29223.51810330645,27541.83733489713,26543.801834665486,27858.073235870215,26182.880209418956,26589.595933621695,23124.009574615877,24597.93466517364,25096.160261524863,23791.887374896112,25269.378735633047,25390.892965024304,21805.13576475223,23310.009004787375
        Belarus,1150933.7191139883,1065101.830862389,1034366.6847789498,1083010.7575477008,1013735.6744281094,1140271.2047090998,1216092.4506229972,1180128.0823106144,1195327.9337884623,1112318.3312545482,1183979.2501514354,1224786.008478546,1235315.301356951,1179963.0989341096,1181974.1560204616,1005525.5598230313,996652.724047344,992505.9407542561,1046474.1872522708,1014763.5315310779,974264.9976298601,1072426.690135028
        Belgium,2851736.328466621,2846159.079680912,2830755.132488331,2921761.640297013,2960879.0862531024,2932550.9655582686,2924608.4302668856,2937657.4244117523,3028471.8761025066,2763213.4947799603,2974750.7079202062,2778939.1755101494,2700857.342968894,2782093.7662845156,2598483.7413886045,2632381.630231935,2792041.7220801893,2807011.444559727,2830194.618112097,2844468.107836768,2582329.2610140224,2863865.9883958665
        Belize,8688.48637823481,9563.982453021565,9255.14646705285,9079.828242409389,8747.95156258533,9367.079894246794,10776.10521736876,10167.693409952628,9833.327088070326,10248.085301494508,12167.18685434801,10613.676297494088,11026.700184658413,12016.031691475862,11950.507113038135,13212.017631768254,13227.49859999954,14699.20745172717,13130.33580695273,13844.850423953274,10274.193153027365,10711.092751278507
        Benin,24713.30317630989,28127.296435822154,32226.947388229,37416.88542012899,39451.900444295694,37035.98440846478,50577.719206162015,59722.95731053303,61077.042019363296,67832.3420793543,77794.62777189551,72522.61044730285,68830.33895214819,70130.73219743834,74144.20908149095,82002.46603219179,100003.47699077048,106050.40553523852,117645.40738392726,106904.52161889679,114635.63493469052,116261.76071988474
        Bermuda,8684.987982997012,8809.16685408671,9270.415190533191,9249.343826055838,9577.28328118749,10085.08314013168,11390.247336354541,13229.436619434555,12655.508921420205,9958.067731589363,11725.04875496058,7577.632683671929,8195.080641033712,8231.799656373407,10660.93410682407,8965.047115978548,11410.460197664404,11255.347226872951,11644.031072525599,11636.847619247452,10644.104856524562,10746.996472392248
        Bhutan,17903.200258294626,19763.87203794372,21862.77248932517,24350.68738206849,23434.20267292108,26554.109195813853,43014.337776545304,53747.92842541884,55546.89259044022,57605.03263240884,61678.90461833632,60013.55363623937,58309.927156451304,64590.762825957034,61841.51618651817,64765.12104534541,66648.88696927829,66220.68440726378,63481.947439601354,75292.94050685818,73956.44760729754,77771.2128398396
        Bolivia,156915.23905868884,134283.81089210827,146470.1124630075,196905.88845412002,204211.79351556662,200063.88824122754,220212.85940834825,236609.69204753757,242860.10677761657,239355.7617644303,242867.63103802397,251379.65246314014,298277.9600593658,302202.8144149127,305396.70448418916,320139.46720624674,331544.9680927068,326803.47495053353,337970.2503670836,335079.2214367408,281048.0747031935,307105.31433134835
        Bosnia and Herzegovina,232825.77914835833,231625.60039644004,232802.22228578627,203115.7424645823,209773.26415433382,193845.32177406494,198128.52173322416,189258.38247416177,213979.68345268798,257285.82106827458,275419.5589848859,266854.1859226075,259590.88300527225,263618.8334026639,255261.60602845525,255653.0799520202,261316.2812131821,259322.42794298078,263688.6230448178,250372.20225717174,232532.29457134078,270993.4221258681
