countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,535354.903834328,470176.938615615,561139.278250267,598741.016874806,660487.498634743,683845.468949437,692998.355449451,570746.359232924,611250.158560649,573625.43708039,618964.40861984,586035.538110086,636473.4013861,598569.388537262,617281.527941852,652358.502672084,642483.923480301,640039.594807019,641927.655350149,682872.834218298,663118.570690538,699872.026355886
Bahrain,402757.348847855,416844.967992766,444769.306794803,464693.167479823,481367.234133922,540015.992569119,576183.303662495,591579.133962729,619493.405242461,613335.742013007,620045.129492627,613494.000179889,659052.588186535,732931.664148839,726564.768921197,732979.504548668,731350.129883553,752428.607276424,761892.067942902,835904.177414201,830261.174158703,848694.704404587
Bangladesh,538615.169135186,589827.621685577,620515.830469005,682978.002729831,706926.114447213,751564.411840564,810398.821105935,851078.216479765,920149.417767435,968596.471597202,1021589.30023884,1074549.89575782,1159132.65211197,1190000.05548317,1271098.39167632,1406511.88706696,1513244.18299023,1560348.79064023,1567939.67624381,1673979.53685168,1635939.84338534,1806070.99151886
Barbados,25075.5037282172,25090.4519640019,25259.3122224191,25528.6690361143,25718.9285816052,25917.8941591454,25976.742061929,24784.1163818973,29223.5181033064,27541.8373348971,26543.8018346655,27858.0732358702,26182.880209419,26589.5959336217,23124.0095746159,24597.9346651736,25096.1602615249,23791.8873748961,25269.378735633,25390.8929650243,21805.1357647522,23310.0090047874
Belarus,1150933.71911399,1065101.83086239,1034366.68477895,1083010.7575477,1013735.67442811,1140271.2047091,1216092.450623,1180128.08231061,1195327.93378846,1112318.33125455,1183979.25015144,1224786.00847855,1235315.30135695,1179963.09893411,1181974.15602046,1005525.55982303,996652.724047344,992505.940754256,1046474.18725227,1014763.53153108,974264.99762986,1072426.69013503
Belgium,2851736.32846662,2846159.07968091,2830755.13248833,2921761.64029701,2960879.0862531,2932550.96555827,2924608.43026689,2937657.42441175,3028471.87610251,2763213.49477996,2974750.70792021,2778939.17551015,2700857.34296889,2782093.76628452,2598483.7413886,2632381.63023194,2792041.72208019,2807011.44455973,2830194.6181121,2844468.10783677,2582329.26101402,2863865.98839587
Belize,8688.48637823481,9563.98245302156,9255.14646705285,9079.82824240939,8747.95156258533,9367.07989424679,10776.1052173688,10167.6934099526,9833.32708807033,10248.0853014945,12167.186854348,10613.6762974941,11026.7001846584,12016.0316914759,11950.5071130381,13212.0176317683,13227.4985999995,14699.2074517272,13130.3358069527,13844.8504239533,10274.1931530274,10711.0927512785
Benin,24713.3031763099,28127.2964358222,32226.947388229,37416.885420129,39451.9004442957,37035.9844084648,50577.719206162,59722.957310533,61077.0420193633,67832.3420793543,77794.6277718955,72522.6104473029,68830.3389521482,70130.7321974383,74144.2090814909,82002.4660321918,100003.47699077,106050.405535239,117645.407383927,106904.521618897,114635.634934691,116261.760719885
Bermuda,8684.98798299701,8809.16685408671,9270.41519053319,9249.34382605584,9577.28328118749,10085.0831401317,11390.2473363545,13229.4366194346,12655.5089214202,9958.06773158936,11725.0487549606,7577.63268367193,8195.08064103371,8231.79965637341,10660.9341068241,8965.04711597855,11410.4601976644,11255.347226873,11644.0310725256,11636.8476192475,10644.1048565246,10746.9964723922
Bhutan,17903.2002582946,19763.8720379437,21862.7724893252,24350.6873820685,23434.2026729211,26554.1091958139,43014.3377765453,53747.9284254188,55546.8925904402,57605.0326324088,61678.9046183363,60013.5536362394,58309.9271564513,64590.762825957,61841.5161865182,64765.1210453454,66648.8869692783,66220.6844072638,63481.9474396014,75292.9405068582,73956.4476072975,77771.2128398396
